Üniversite Adı,Ders Adı,Ders Tanımı
orta doğu teknik üniversitesi,bilgisayar ağları,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
istanbul teknik üniversitesi,içerik yönetim sistemleri,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
marmara üniversitesi,dijital oyun programlama,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
boğaziçi üniversitesi,kriptografi ve veri güvenliği,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
marmara üniversitesi,veri tabanı yönetim sistemleri,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
dokuz eylül üniversitesi,bilgisayar ağları,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
marmara üniversitesi,sistem programlama,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
dokuz eylül üniversitesi,bilgisayar mühendisliğine giriş,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
boğaziçi üniversitesi,yapay zeka,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
orta doğu teknik üniversitesi,nesne tabanlı yazılım geliştirme,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
istanbul teknik üniversitesi,veri madenciliği,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
istanbul üniversitesi,mobil uygulama geliştirme,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
yıldız teknik üniversitesi,genel matematik,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
istanbul teknik üniversitesi,dijital oyun programlama,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
istanbul üniversitesi,sistem programlama,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
ankara üniversitesi,bilgisayar ağları,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
istanbul üniversitesi,programlama dilleri,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
istanbul teknik üniversitesi,siber güvenlik,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
yıldız teknik üniversitesi,bilgisayar ağları,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
istanbul üniversitesi,mobil uygulama geliştirme,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
orta doğu teknik üniversitesi,internet programcılığı,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul üniversitesi,sistem programlama,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
hacettepe üniversitesi,mobil uygulama geliştirme,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
istanbul teknik üniversitesi,genel matematik,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
istanbul teknik üniversitesi,mobil uygulama geliştirme,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
dokuz eylül üniversitesi,yapay zeka,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
yıldız teknik üniversitesi,dijital oyun programlama,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
orta doğu teknik üniversitesi,makine ğrenmesi,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
ankara üniversitesi,kriptografi ve veri güvenliği,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
marmara üniversitesi,veri tabanı yönetim sistemleri,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
dokuz eylül üniversitesi,makine ğrenmesi,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
orta doğu teknik üniversitesi,bilgisayar mühendisliğine giriş,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
ankara üniversitesi,sistem programlama,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
dokuz eylül üniversitesi,web programlama,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
ankara üniversitesi,veri madenciliği,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
boğaziçi üniversitesi,internet programcılığı,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
orta doğu teknik üniversitesi,nesne tabanlı programlama,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
koç üniversitesi,internet programcılığı,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
marmara üniversitesi,mobil uygulama geliştirme,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
boğaziçi üniversitesi,bilgisayar mühendisliğine giriş,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
orta doğu teknik üniversitesi,veri tabanı yönetim sistemleri,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
yıldız teknik üniversitesi,sistem programlama,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
boğaziçi üniversitesi,sistem programlama,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
koç üniversitesi,veritabanı sistemleri,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
boğaziçi üniversitesi,içerik yönetim sistemleri,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
hacettepe üniversitesi,veri bilimi,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
istanbul üniversitesi,sistem programlama,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
koç üniversitesi,programlama dilleri,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
sabancı üniversitesi,içerik yönetim sistemleri,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
sabancı üniversitesi,veritabanı sistemleri,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
dokuz eylül üniversitesi,nesne tabanlı programlama,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
sabancı üniversitesi,mobil uygulama geliştirme,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
istanbul teknik üniversitesi,makine ğrenmesi,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
koç üniversitesi,veritabanı sistemleri,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
boğaziçi üniversitesi,sistem programlama,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
ankara üniversitesi,web programlama,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
orta doğu teknik üniversitesi,bilgisayar mühendisliğine giriş,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
orta doğu teknik üniversitesi,internet programcılığı,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
sabancı üniversitesi,dijital oyun programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
koç üniversitesi,siber güvenlik,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
ankara üniversitesi,yapay zeka,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
dokuz eylül üniversitesi,web programlama,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
marmara üniversitesi,genel matematik,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
istanbul teknik üniversitesi,veritabanı sistemleri,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
istanbul üniversitesi,kriptografi ve veri güvenliği,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
yıldız teknik üniversitesi,nesne tabanlı programlama,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
koç üniversitesi,web programlama,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
koç üniversitesi,sistem programlama,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
dokuz eylül üniversitesi,içerik yönetim sistemleri,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
marmara üniversitesi,içerik yönetim sistemleri,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
marmara üniversitesi,nesne tabanlı yazılım geliştirme,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
hacettepe üniversitesi,mobil uygulama geliştirme,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
marmara üniversitesi,siber güvenlik,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
hacettepe üniversitesi,içerik yönetim sistemleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
koç üniversitesi,sistem programlama,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
yıldız teknik üniversitesi,dijital oyun programlama,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
istanbul teknik üniversitesi,yapay zeka,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
hacettepe üniversitesi,siber güvenlik,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
koç üniversitesi,nesne tabanlı programlama,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
marmara üniversitesi,web programlama,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
koç üniversitesi,nesne tabanlı yazılım geliştirme,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
hacettepe üniversitesi,programlama dilleri,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
dokuz eylül üniversitesi,internet programcılığı,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
istanbul teknik üniversitesi,internet programcılığı,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
boğaziçi üniversitesi,veri bilimi,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
marmara üniversitesi,web programlama,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
hacettepe üniversitesi,nesne tabanlı yazılım geliştirme,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
dokuz eylül üniversitesi,dijital oyun programlama,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
marmara üniversitesi,veri bilimi,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
orta doğu teknik üniversitesi,veritabanı sistemleri,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
yıldız teknik üniversitesi,veri bilimi,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
istanbul teknik üniversitesi,nesne tabanlı programlama,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
dokuz eylül üniversitesi,internet programcılığı,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
dokuz eylül üniversitesi,siber güvenlik,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
istanbul üniversitesi,mobil uygulama geliştirme,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
orta doğu teknik üniversitesi,veri tabanı yönetim sistemleri,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul teknik üniversitesi,kriptografi ve veri güvenliği,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
yıldız teknik üniversitesi,programlama dilleri,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
marmara üniversitesi,veritabanı sistemleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
istanbul üniversitesi,web programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
orta doğu teknik üniversitesi,makine ğrenmesi,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
marmara üniversitesi,veri madenciliği,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
koç üniversitesi,web programlama,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
ankara üniversitesi,bilgisayar ağları,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
boğaziçi üniversitesi,dijital oyun programlama,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
orta doğu teknik üniversitesi,veri bilimi,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
istanbul üniversitesi,yapay zeka,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
dokuz eylül üniversitesi,kriptografi ve veri güvenliği,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
istanbul teknik üniversitesi,içerik yönetim sistemleri,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
istanbul üniversitesi,makine ğrenmesi,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
koç üniversitesi,nesne tabanlı yazılım geliştirme,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
boğaziçi üniversitesi,yapay zeka,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
sabancı üniversitesi,veritabanı sistemleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
hacettepe üniversitesi,içerik yönetim sistemleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
sabancı üniversitesi,siber güvenlik,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
marmara üniversitesi,veri madenciliği,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
hacettepe üniversitesi,veri tabanı yönetim sistemleri,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
boğaziçi üniversitesi,veri madenciliği,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
dokuz eylül üniversitesi,veritabanı sistemleri,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
orta doğu teknik üniversitesi,genel matematik,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
sabancı üniversitesi,sistem programlama,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
marmara üniversitesi,kriptografi ve veri güvenliği,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
sabancı üniversitesi,programlama dilleri,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
orta doğu teknik üniversitesi,dijital oyun programlama,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
sabancı üniversitesi,nesne tabanlı programlama,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
istanbul üniversitesi,bilgisayar mühendisliğine giriş,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
hacettepe üniversitesi,veritabanı sistemleri,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
hacettepe üniversitesi,programlama dilleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
dokuz eylül üniversitesi,veri madenciliği,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
marmara üniversitesi,mobil uygulama geliştirme,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
sabancı üniversitesi,mobil uygulama geliştirme,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
boğaziçi üniversitesi,veritabanı sistemleri,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
koç üniversitesi,nesne tabanlı programlama,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
orta doğu teknik üniversitesi,bilgisayar mühendisliğine giriş,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
koç üniversitesi,veri madenciliği,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
istanbul üniversitesi,dijital oyun programlama,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
marmara üniversitesi,veri madenciliği,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
marmara üniversitesi,internet programcılığı,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
dokuz eylül üniversitesi,mobil uygulama geliştirme,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
yıldız teknik üniversitesi,içerik yönetim sistemleri,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
marmara üniversitesi,kriptografi ve veri güvenliği,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
marmara üniversitesi,içerik yönetim sistemleri,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
koç üniversitesi,veri tabanı yönetim sistemleri,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
sabancı üniversitesi,veri madenciliği,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
orta doğu teknik üniversitesi,genel matematik,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
boğaziçi üniversitesi,veri bilimi,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
boğaziçi üniversitesi,web programlama,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
hacettepe üniversitesi,dijital oyun programlama,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
marmara üniversitesi,web programlama,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
hacettepe üniversitesi,yapay zeka,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
sabancı üniversitesi,siber güvenlik,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
boğaziçi üniversitesi,veri bilimi,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
yıldız teknik üniversitesi,sistem programlama,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
yıldız teknik üniversitesi,veri madenciliği,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
ankara üniversitesi,bilgisayar ağları,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
dokuz eylül üniversitesi,programlama dilleri,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
istanbul üniversitesi,internet programcılığı,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
koç üniversitesi,bilgisayar mühendisliğine giriş,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
koç üniversitesi,internet programcılığı,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
marmara üniversitesi,veri bilimi,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
yıldız teknik üniversitesi,genel matematik,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
hacettepe üniversitesi,siber güvenlik,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
istanbul teknik üniversitesi,veritabanı sistemleri,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
yıldız teknik üniversitesi,genel matematik,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
marmara üniversitesi,bilgisayar mühendisliğine giriş,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
koç üniversitesi,genel matematik,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
sabancı üniversitesi,programlama dilleri,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
boğaziçi üniversitesi,sistem programlama,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
ankara üniversitesi,veritabanı sistemleri,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
koç üniversitesi,bilgisayar ağları,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
ankara üniversitesi,dijital oyun programlama,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
orta doğu teknik üniversitesi,veri tabanı yönetim sistemleri,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
boğaziçi üniversitesi,siber güvenlik,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
boğaziçi üniversitesi,dijital oyun programlama,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
istanbul üniversitesi,bilgisayar mühendisliğine giriş,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
hacettepe üniversitesi,makine ğrenmesi,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
boğaziçi üniversitesi,siber güvenlik,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
hacettepe üniversitesi,web programlama,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
ankara üniversitesi,dijital oyun programlama,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
boğaziçi üniversitesi,içerik yönetim sistemleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
yıldız teknik üniversitesi,içerik yönetim sistemleri,veri tabanı mimarileri sql veritabanı güvenliği ve performans yönetimi
istanbul teknik üniversitesi,yapay zeka,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
boğaziçi üniversitesi,veri tabanı yönetim sistemleri,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
boğaziçi üniversitesi,veri tabanı yönetim sistemleri,web teknolojileri istemcisunucu uygulamaları frontend ve backend programlama
istanbul üniversitesi,veritabanı sistemleri,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
marmara üniversitesi,nesne tabanlı programlama,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
orta doğu teknik üniversitesi,bilgisayar mühendisliğine giriş,akıllı sistemler karar verme mekanizmaları arama algoritmaları ve uzman sistemler
dokuz eylül üniversitesi,nesne tabanlı yazılım geliştirme,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
marmara üniversitesi,nesne tabanlı programlama,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
ankara üniversitesi,veritabanı sistemleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
dokuz eylül üniversitesi,sistem programlama,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
hacettepe üniversitesi,kriptografi ve veri güvenliği,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
hacettepe üniversitesi,programlama dilleri,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
boğaziçi üniversitesi,programlama dilleri,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
koç üniversitesi,veri bilimi,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
boğaziçi üniversitesi,veri tabanı yönetim sistemleri,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
istanbul teknik üniversitesi,içerik yönetim sistemleri,ağ katmanları protokoller tcpip mimarisi ve güvenlik önlemleri
yıldız teknik üniversitesi,programlama dilleri,java ve c dillerinde nesne tabanlı yazılım geliştirme prensipleri
boğaziçi üniversitesi,genel matematik,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
hacettepe üniversitesi,genel matematik,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
marmara üniversitesi,bilgisayar mühendisliğine giriş,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
istanbul üniversitesi,içerik yönetim sistemleri,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
marmara üniversitesi,veritabanı sistemleri,cms platformları içerik üretimi yönetimi ve özelleştirme yöntemleri
boğaziçi üniversitesi,makine ğrenmesi,temel bilgisayar donanımı ve yazılımı algoritmalar veri yapıları ve bilgisayar bilimlerinin temel ilkeleri
dokuz eylül üniversitesi,dijital oyun programlama,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
istanbul teknik üniversitesi,genel matematik,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
istanbul üniversitesi,internet programcılığı,düşük seviye programlama işletim sistemi ile etkileşim dosya sistemleri ve iş parçacığı yönetimi
ankara üniversitesi,içerik yönetim sistemleri,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
istanbul üniversitesi,veri madenciliği,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
yıldız teknik üniversitesi,veritabanı sistemleri,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
dokuz eylül üniversitesi,kriptografi ve veri güvenliği,şifreleme teknikleri dijital imza güvenli iletişim yöntemleri ve ağ güvenliği
istanbul üniversitesi,veri bilimi,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
ankara üniversitesi,nesne tabanlı yazılım geliştirme,veritabanı tasarımı sql sorguları veri modelleme veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri
orta doğu teknik üniversitesi,genel matematik,denetimli ve denetimsiz öğrenme algoritmaları regresyon sınıflandırma ve model değerlendirme
koç üniversitesi,kriptografi ve veri güvenliği,büyük veri kümeleri üzerinden desen ve örüntü çıkarımı sınıflandırma ve kümeleme yöntemleri
hacettepe üniversitesi,sistem programlama,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
dokuz eylül üniversitesi,bilgisayar mühendisliğine giriş,oyun geliştirme süreçleri oyun motorları grafik ve fizik motorlarının kullanımı
yıldız teknik üniversitesi,bilgisayar mühendisliğine giriş,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
koç üniversitesi,veri bilimi,fonksiyonlar limit türev integral lineer cebir ve diferansiyel denklemler
ankara üniversitesi,makine ğrenmesi,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
dokuz eylül üniversitesi,makine ğrenmesi,bilgi güvenliği temelleri şifreleme ağ güvenliği tehditler ve önlemler
koç üniversitesi,genel matematik,veri analizi istatistiksel modelleme python ile veri işleme ve görselleştirme
dokuz eylül üniversitesi,web programlama,çeşitli programlama dillerinin yapıları sözdizimi semantik ve çevirici sistemleri
ankara üniversitesi,veri tabanı yönetim sistemleri,nesne yönelimli programlamaya giriş sınıflar kalıtım kapsülleme ve çok biçimlilik konuları
ankara üniversitesi,kriptografi ve veri güvenliği,web programlama istemcisunucu yapısı html css javascript ve sunucu taraflı programlama
istanbul üniversitesi,programlama dilleri,android ve ios platformları için uygulama geliştirme arayüz tasarımı ve veri yönetimi
