Üniversite Adı,Ders Adı,Ders Tanımı
İstanbul Üniversitesi,Yapay Zeka,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Boğaziçi Üniversitesi,Veri Bilimi,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Hacettepe Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Koç Üniversitesi,Sistem Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Dokuz Eylül Üniversitesi,Veri Bilimi,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Sabancı Üniversitesi,İçerik Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Ankara Üniversitesi,Siber Güvenlik,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Ankara Üniversitesi,Sistem Programlama,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Sabancı Üniversitesi,Yapay Zeka,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
İstanbul Teknik Üniversitesi,Web Programlama,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Koç Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Yıldız Teknik Üniversitesi,Programlama Dilleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Marmara Üniversitesi,Dijital Oyun Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Teknik Üniversitesi,Veri Madenciliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Yıldız Teknik Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Yıldız Teknik Üniversitesi,Veri Bilimi,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
İstanbul Teknik Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Sabancı Üniversitesi,Veritabanı Sistemleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Hacettepe Üniversitesi,Veri Madenciliği,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Hacettepe Üniversitesi,Genel Matematik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
İstanbul Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Koç Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Ankara Üniversitesi,Veri Madenciliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Marmara Üniversitesi,Programlama Dilleri,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Koç Üniversitesi,Veri Madenciliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Hacettepe Üniversitesi,Yapay Zeka,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Hacettepe Üniversitesi,İçerik Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
İstanbul Üniversitesi,Sistem Programlama,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Hacettepe Üniversitesi,Dijital Oyun Programlama,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Orta Doğu Teknik Üniversitesi,Genel Matematik,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
İstanbul Üniversitesi,Mobil Uygulama Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Ankara Üniversitesi,Web Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Marmara Üniversitesi,Makine Ãğrenmesi,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Ankara Üniversitesi,Dijital Oyun Programlama,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Marmara Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Koç Üniversitesi,Programlama Dilleri,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Hacettepe Üniversitesi,Veritabanı Sistemleri,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Koç Üniversitesi,Mobil Uygulama Geliştirme,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Sabancı Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
İstanbul Üniversitesi,Genel Matematik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Marmara Üniversitesi,Veri Bilimi,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Koç Üniversitesi,Dijital Oyun Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Marmara Üniversitesi,İçerik Yönetim Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Yıldız Teknik Üniversitesi,Bilgisayar Ağları,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Koç Üniversitesi,Web Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Marmara Üniversitesi,Genel Matematik,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Teknik Üniversitesi,Veritabanı Sistemleri,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
İstanbul Teknik Üniversitesi,Sistem Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Orta Doğu Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Marmara Üniversitesi,İçerik Yönetim Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Ankara Üniversitesi,Bilgisayar Ağları,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Orta Doğu Teknik Üniversitesi,Yapay Zeka,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Boğaziçi Üniversitesi,Mobil Uygulama Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Hacettepe Üniversitesi,Dijital Oyun Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Hacettepe Üniversitesi,Genel Matematik,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Hacettepe Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Hacettepe Üniversitesi,Kriptografi Veri Güvenliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
İstanbul Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Üniversitesi,Sistem Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Yıldız Teknik Üniversitesi,Programlama Dilleri,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Dokuz Eylül Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
İstanbul Teknik Üniversitesi,Genel Matematik,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Sabancı Üniversitesi,Programlama Dilleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Marmara Üniversitesi,Veritabanı Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Boğaziçi Üniversitesi,Web Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Hacettepe Üniversitesi,Kriptografi Veri Güvenliği,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Ankara Üniversitesi,Genel Matematik,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Koç Üniversitesi,Veritabanı Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Yıldız Teknik Üniversitesi,Veritabanı Sistemleri,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Yıldız Teknik Üniversitesi,Nesne Tabanlı Programlama,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Yıldız Teknik Üniversitesi,Bilgisayar Ağları,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Boğaziçi Üniversitesi,Mobil Uygulama Geliştirme,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Koç Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Marmara Üniversitesi,Sistem Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Marmara Üniversitesi,Mobil Uygulama Geliştirme,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Hacettepe Üniversitesi,Veritabanı Sistemleri,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Koç Üniversitesi,Dijital Oyun Programlama,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Sabancı Üniversitesi,Veri Madenciliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
İstanbul Üniversitesi,Veri Madenciliği,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
İstanbul Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Ankara Üniversitesi,Yapay Zeka,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Dokuz Eylül Üniversitesi,Bilgisayar Ağları,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Yıldız Teknik Üniversitesi,Makine Ãğrenmesi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Teknik Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
İstanbul Teknik Üniversitesi,Genel Matematik,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Üniversitesi,Bilgisayar Ağları,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
İstanbul Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Hacettepe Üniversitesi,Veritabanı Sistemleri,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
İstanbul Üniversitesi,Veritabanı Sistemleri,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Üniversitesi,Veri Madenciliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Koç Üniversitesi,Kriptografi Veri Güvenliği,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Marmara Üniversitesi,Nesne Tabanlı Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Sabancı Üniversitesi,Veri Madenciliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Yıldız Teknik Üniversitesi,Veri Madenciliği,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
İstanbul Üniversitesi,Programlama Dilleri,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
İstanbul Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Ankara Üniversitesi,Dijital Oyun Programlama,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Orta Doğu Teknik Üniversitesi,Sistem Programlama,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Koç Üniversitesi,Siber Güvenlik,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Hacettepe Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Ankara Üniversitesi,Makine Ãğrenmesi,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
İstanbul Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Sabancı Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Koç Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Ankara Üniversitesi,Sistem Programlama,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
İstanbul Üniversitesi,Sistem Programlama,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Boğaziçi Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Sabancı Üniversitesi,İçerik Yönetim Sistemleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Koç Üniversitesi,Genel Matematik,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Yıldız Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Marmara Üniversitesi,Siber Güvenlik,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Yıldız Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Koç Üniversitesi,Programlama Dilleri,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Hacettepe Üniversitesi,Veri Madenciliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
İstanbul Üniversitesi,Makine Ãğrenmesi,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Ankara Üniversitesi,İçerik Yönetim Sistemleri,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Marmara Üniversitesi,Dijital Oyun Programlama,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
İstanbul Üniversitesi,Dijital Oyun Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Sabancı Üniversitesi,Siber Güvenlik,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
İstanbul Teknik Üniversitesi,Dijital Oyun Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Ankara Üniversitesi,Bilgisayar Ağları,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Ankara Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Sabancı Üniversitesi,Siber Güvenlik,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
Boğaziçi Üniversitesi,Veri Madenciliği,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Sabancı Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Marmara Üniversitesi,Veritabanı Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Yıldız Teknik Üniversitesi,Sistem Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Marmara Üniversitesi,Veri Madenciliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
İstanbul Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Koç Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
İstanbul Teknik Üniversitesi,Siber Güvenlik,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Hacettepe Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Boğaziçi Üniversitesi,Yapay Zeka,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Orta Doğu Teknik Üniversitesi,Bilgisayar Ağları,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ağ güvenliği."
Boğaziçi Üniversitesi,Veri Madenciliği,"Ağ katmanları, protokoller, TCP/IP mimarisi güvenlik önlemleri."
İstanbul Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Orta Doğu Teknik Üniversitesi,Kriptografi Veri Güvenliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Boğaziçi Üniversitesi,Veri Madenciliği,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları uzman sistemler."
Boğaziçi Üniversitesi,Sistem Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Sabancı Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Orta Doğu Teknik Üniversitesi,Veri Bilimi,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Koç Üniversitesi,Nesne Tabanlı Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Koç Üniversitesi,Dijital Oyun Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme biçimlilik konuları."
Boğaziçi Üniversitesi,Sistem Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Dokuz Eylül Üniversitesi,Makine Ãğrenmesi,"Büyük veri kümeleri üzerinden desen örüntü çıkarımı, sınıflandırma kümeleme yöntemleri."
Ankara Üniversitesi,Veri Madenciliği,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Boğaziçi Üniversitesi,Web Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript sunucu taraflı programlama."
Yıldız Teknik Üniversitesi,Siber Güvenlik,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Dokuz Eylül Üniversitesi,Dijital Oyun Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Koç Üniversitesi,Sistem Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir diferansiyel denklemler."
Boğaziçi Üniversitesi,Siber Güvenlik,"Temel bilgisayar donanımı yazılımı, algoritmalar, veri yapıları bilgisayar bilimlerinin temel ilkeleri."
Sabancı Üniversitesi,Bilgisayar Ağları,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler önlemler."
Marmara Üniversitesi,İçerik Yönetim Sistemleri,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Boğaziçi Üniversitesi,İnternet Programcılığı,"Denetimli denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma model değerlendirme."
Hacettepe Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Boğaziçi Üniversitesi,Bilgisayar Ağları,"Veri tabanı mimarileri, SQL, veritabanı güvenliği performans yönetimi."
Marmara Üniversitesi,İçerik Yönetim Sistemleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Orta Doğu Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Marmara Üniversitesi,Mobil Uygulama Geliştirme,"Veri analizi, istatistiksel modelleme, Python veri işleme görselleştirme."
Sabancı Üniversitesi,Kriptografi Veri Güvenliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ilişkisel veri tabanı yönetim sistemleri."
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end back-end programlama."
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Android iOS platformları uygulama geliştirme, arayüz tasarımı veri yönetimi."
Boğaziçi Üniversitesi,Veri Bilimi,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Yıldız Teknik Üniversitesi,İnternet Programcılığı,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Marmara Üniversitesi,Genel Matematik,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
Marmara Üniversitesi,Sistem Programlama,"CMS platformları, içerik üretimi, yönetimi özelleştirme yöntemleri."
Koç Üniversitesi,Yapay Zeka,"Oyun geliştirme süreçleri, oyun motorları, grafik fizik motorlarının kullanımı."
Dokuz Eylül Üniversitesi,Sistem Programlama,"Düşük seviye programlama, işletim sistemi etkileşim, dosya sistemleri iş parçacığı yönetimi."
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik çevirici sistemleri."
Orta Doğu Teknik Üniversitesi,İçerik Yönetim Sistemleri,Java C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.
