Üniversite Adı,Ders Adı,Ders Tanımı,stemmed_text
Marmara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Ankara Üniversitesi,İçerik Yönetim Sistemleri,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Dokuz Eylül Üniversitesi,Sistem Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Orta Doğu Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
İstanbul Teknik Üniversitesi,Veri Bilimi,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Yıldız Teknik Üniversitesi,Veritabanı Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Yıldız Teknik Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Koç Üniversitesi,Yapay Zeka,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Yıldız Teknik Üniversitesi,Yapay Zeka,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Boğaziçi Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Orta Doğu Teknik Üniversitesi,Veri Madenciliği,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Koç Üniversitesi,Nesne Tabanlı Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
İstanbul Üniversitesi,Sistem Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
İstanbul Üniversitesi,Veri Tabanı Yönetim Sistemleri,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Boğaziçi Üniversitesi,Makine Ãğrenmesi,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Boğaziçi Üniversitesi,Bilgisayar Ağları,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Ankara Üniversitesi,Mobil Uygulama Geliştirme,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
İstanbul Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
İstanbul Teknik Üniversitesi,İnternet Programcılığı,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Marmara Üniversitesi,Veri Madenciliği,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
İstanbul Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
İstanbul Üniversitesi,Makine Ãğrenmesi,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Ankara Üniversitesi,Programlama Dilleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Dokuz Eylül Üniversitesi,Nesne Tabanlı Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",düşük seviy programlama işletim sistemi etkileşim dosya sistemleri iş parçacığı yönetimi
Sabancı Üniversitesi,Nesne Tabanlı Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Koç Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Boğaziçi Üniversitesi,Programlama Dilleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Marmara Üniversitesi,Web Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Koç Üniversitesi,Nesne Tabanlı Programlama,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Hacettepe Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Dokuz Eylül Üniversitesi,Veri Bilimi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Yıldız Teknik Üniversitesi,Nesne Tabanlı Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Koç Üniversitesi,Bilgisayar Ağları,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
İstanbul Teknik Üniversitesi,Makine Ãğrenmesi,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Sabancı Üniversitesi,İçerik Yönetim Sistemleri,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
İstanbul Üniversitesi,Sistem Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Boğaziçi Üniversitesi,Nesne Tabanlı Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Koç Üniversitesi,İçerik Yönetim Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Hacettepe Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Sabancı Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Koç Üniversitesi,Veri Madenciliği,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Sabancı Üniversitesi,Programlama Dilleri,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Ankara Üniversitesi,Bilgisayar Ağları,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Orta Doğu Teknik Üniversitesi,Veri Bilimi,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Yıldız Teknik Üniversitesi,Bilgisayar Ağları,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Yıldız Teknik Üniversitesi,Sistem Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
İstanbul Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
İstanbul Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Ankara Üniversitesi,Veri Madenciliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Marmara Üniversitesi,Kriptografi ve Veri Güvenliği,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Dokuz Eylül Üniversitesi,Mobil Uygulama Geliştirme,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Marmara Üniversitesi,Bilgisayar Ağları,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Sabancı Üniversitesi,Mobil Uygulama Geliştirme,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
İstanbul Teknik Üniversitesi,Dijital Oyun Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Boğaziçi Üniversitesi,Veri Madenciliği,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Sabancı Üniversitesi,Web Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
İstanbul Teknik Üniversitesi,Veri Madenciliği,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Boğaziçi Üniversitesi,Yapay Zeka,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
İstanbul Üniversitesi,Veri Madenciliği,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Hacettepe Üniversitesi,Makine Ãğrenmesi,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",temel bilgisayar donanımı yazılımı algoritmalar veri yapıları bilgisayar bilimlerinin temel ilkeleri
Ankara Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Orta Doğu Teknik Üniversitesi,Programlama Dilleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
İstanbul Üniversitesi,Mobil Uygulama Geliştirme,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Orta Doğu Teknik Üniversitesi,Veritabanı Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Hacettepe Üniversitesi,Mobil Uygulama Geliştirme,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Orta Doğu Teknik Üniversitesi,Veritabanı Sistemleri,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Koç Üniversitesi,Nesne Tabanlı Programlama,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Orta Doğu Teknik Üniversitesi,Siber Güvenlik,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Sabancı Üniversitesi,Veritabanı Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Sabancı Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Ankara Üniversitesi,Web Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Hacettepe Üniversitesi,Veri Bilimi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
İstanbul Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
İstanbul Teknik Üniversitesi,Dijital Oyun Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Sabancı Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Boğaziçi Üniversitesi,Veri Madenciliği,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Marmara Üniversitesi,Mobil Uygulama Geliştirme,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
İstanbul Üniversitesi,Dijital Oyun Programlama,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
İstanbul Üniversitesi,Mobil Uygulama Geliştirme,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
İstanbul Teknik Üniversitesi,Nesne Tabanlı Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Boğaziçi Üniversitesi,Siber Güvenlik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Hacettepe Üniversitesi,Makine Ãğrenmesi,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
İstanbul Üniversitesi,Programlama Dilleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",akıllı sisteml karar verm mekanizmaları arama algoritmaları uzman sisteml
Orta Doğu Teknik Üniversitesi,Bilgisayar Ağları,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",veri tabanı mimarileri sql veritabanı güvenliği performan yönetimi
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",oyun geliştirm süreçleri oyun motorları grafik fizik motorlarının kullanımı
Koç Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Sabancı Üniversitesi,İnternet Programcılığı,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Koç Üniversitesi,Veri Bilimi,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Marmara Üniversitesi,Bilgisayar Ağları,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",bilgi güvenliği temelleri şifrelem ağ güvenliği tehditl önlemler
Boğaziçi Üniversitesi,Mobil Uygulama Geliştirme,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
İstanbul Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Koç Üniversitesi,İçerik Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Marmara Üniversitesi,Programlama Dilleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
Dokuz Eylül Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",android io platformları uygulama geliştirm arayüz tasarımı veri yönetimi
Ankara Üniversitesi,Veri Madenciliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Boğaziçi Üniversitesi,Genel Matematik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
İstanbul Üniversitesi,Web Programlama,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Yıldız Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Hacettepe Üniversitesi,Veritabanı Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Sabancı Üniversitesi,Programlama Dilleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Hacettepe Üniversitesi,Bilgisayar Ağları,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",çeşitli programlama dillerinin yapıları sözdizimi semantik çevirici sistemleri
Dokuz Eylül Üniversitesi,Web Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
Marmara Üniversitesi,Yapay Zeka,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",ağ katmanları protokol mimarisi güvenlik önlemleri
Hacettepe Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Orta Doğu Teknik Üniversitesi,Yapay Zeka,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
İstanbul Teknik Üniversitesi,Genel Matematik,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",büyük veri kümeleri üzerinden desen örüntü çıkarımı sınıflandırma kümelem yöntemleri
İstanbul Üniversitesi,Bilgisayar Ağları,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Hacettepe Üniversitesi,Kriptografi ve Veri Güvenliği,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",fonksiyonlar limit türev integr lineer cebir diferansiyel denkleml
Koç Üniversitesi,Bilgisayar Ağları,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",denetimli denetimsiz öğrenm algoritmaları regresyon sınıflandırma model değerlendirm
Dokuz Eylül Üniversitesi,Dijital Oyun Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
İstanbul Teknik Üniversitesi,Kriptografi ve Veri Güvenliği,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Boğaziçi Üniversitesi,Mobil Uygulama Geliştirme,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Dokuz Eylül Üniversitesi,Siber Güvenlik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",nesn yönelimli programlamaya giriş sınıflar kalıtım kapsüllem biçimlilik konuları
Dokuz Eylül Üniversitesi,Programlama Dilleri,"CMS platformları, içerik üretimi, yönetimi ve özelleştirme yöntemleri.",cm platformları içerik üretimi yönetimi özelleştirm yöntemleri
Dokuz Eylül Üniversitesi,Sistem Programlama,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
İstanbul Üniversitesi,Siber Güvenlik,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,java c dillerind nesn tabanlı yazılım geliştirm prensipleri
Boğaziçi Üniversitesi,Mobil Uygulama Geliştirme,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",veritabanı tasarımı sql sorguları veri modellem veri güvenliği ilişkisel veri tabanı yönetim sistemleri
Yıldız Teknik Üniversitesi,Veritabanı Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",web programlama yapısı html css javascript sunucu taraflı programlama
Marmara Üniversitesi,İçerik Yönetim Sistemleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",veri analizi istatistiksel modellem python veri işlem görselleştirm
Ankara Üniversitesi,Veri Bilimi,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",web teknolojileri uygulamaları programlama
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",şifrelem teknikleri dijit imza güvenli iletişim yöntemleri ağ güvenliği
