Üniversite Adı,Ders Adı,Ders Tanımı,Üniversite Adı_lemmatized,Üniversite Adı_stemmed,Ders Adı_lemmatized,Ders Adı_stemmed,Ders Tanımı_lemmatized,Ders Tanımı_stemmed
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Ankara üniversite,ankar üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Marmara Üniversitesi,Programlama Dilleri,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Marmara üniversite,marmar üniversites,programlamak dil,programla dil,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Orta Doğu Teknik Üniversitesi,Genel Matematik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",orta doğu teknik üniversite,or dok teknik üniversites,genel matematik,genel matematik,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Yıldız Teknik Üniversitesi,Mobil Uygulama Geliştirme,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,yıldız teknik üniversite,yıldız teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
İstanbul Üniversitesi,Dijital Oyun Programlama,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Unk üniversite,i̇stanbul üniversites,dijital oymak programlamak,dijital oy programla,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Dokuz Eylül Üniversitesi,Kriptografi ve Veri Güvenliği,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",dokuz eylül üniversite,dok eylül üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Hacettepe Üniversitesi,Nesne Tabanlı Programlama,"Oyun geliştirme süreçleri, oyun motorları, grafik ve fizik motorlarının kullanımı.",Hacettepe üniversite,hacettep üniversites,nesne taban programlamak,nesne tabanlı programla,oymak geliştirmek süreç oymak motor grafik fizik motor kullanım,oy geliştirme süreç oy motor grafik fizik motor kullan
İstanbul Üniversitesi,Veritabanı Sistemleri,"Veri tabanı mimarileri, SQL, veritabanı güvenliği ve performans yönetimi.",Unk üniversite,i̇stanbul üniversites,veritabanı sistem,veritaba sistem,veri taba mimarî Unk veritabanı güvenlik performans Yönet,ver taba mimari sql veritaba güvenlik performans yönet
Marmara Üniversitesi,Dijital Oyun Programlama,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",Marmara üniversite,marmar üniversites,dijital oymak programlamak,dijital oy programla,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Dokuz Eylül Üniversitesi,İçerik Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",dokuz eylül üniversite,dok eylül üniversites,Unk Yönet sistem,i̇çerik yönet sistem,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Dokuz Eylül Üniversitesi,Genel Matematik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",dokuz eylül üniversite,dok eylül üniversites,genel matematik,genel matematik,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",Marmara üniversite,marmar üniversites,veri taba Yönet sistem,ver taba yönet sistem,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Hacettepe Üniversitesi,İçerik Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Hacettepe üniversite,hacettep üniversites,Unk Yönet sistem,i̇çerik yönet sistem,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Dokuz Eylül Üniversitesi,Veritabanı Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",dokuz eylül üniversite,dok eylül üniversites,veritabanı sistem,veritaba sistem,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Hacettepe Üniversitesi,Mobil Uygulama Geliştirme,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Hacettepe üniversite,hacettep üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Boğaziçi üniversite,boğaziç üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Koç Üniversitesi,Veritabanı Sistemleri,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",koçmak üniversite,koç üniversites,veritabanı sistem,veritaba sistem,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
İstanbul Üniversitesi,Siber Güvenlik,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",Unk üniversite,i̇stanbul üniversites,siber Güvenlik,siber güvenlik,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Orta Doğu Teknik Üniversitesi,Bilgisayar Ağları,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",orta doğu teknik üniversite,or dok teknik üniversites,bilgisayar ağ,bilgisayar ak,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
İstanbul Teknik Üniversitesi,İçerik Yönetim Sistemleri,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",Unk teknik üniversite,i̇stanbul teknik üniversites,Unk Yönet sistem,i̇çerik yönet sistem,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Marmara Üniversitesi,Dijital Oyun Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Marmara üniversite,marmar üniversites,dijital oymak programlamak,dijital oy programla,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Boğaziçi Üniversitesi,Kriptografi ve Veri Güvenliği,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Boğaziçi üniversite,boğaziç üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Hacettepe Üniversitesi,Programlama Dilleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",Hacettepe üniversite,hacettep üniversites,programlamak dil,programla dil,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Marmara üniversite,marmar üniversites,veri taba Yönet sistem,ver taba yönet sistem,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
Yıldız Teknik Üniversitesi,Sistem Programlama,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",yıldız teknik üniversite,yıldız teknik üniversites,sistem programlamak,siste programla,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Koç Üniversitesi,Yapay Zeka,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",koçmak üniversite,koç üniversites,yapay zekâ,yapay zeka,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Dokuz Eylül Üniversitesi,Bilgisayar Ağları,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",dokuz eylül üniversite,dok eylül üniversites,bilgisayar ağ,bilgisayar ak,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Marmara Üniversitesi,Sistem Programlama,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Marmara üniversite,marmar üniversites,sistem programlamak,siste programla,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Dokuz Eylül Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",dokuz eylül üniversite,dok eylül üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",Marmara üniversite,marmar üniversites,veri taba Yönet sistem,ver taba yönet sistem,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Dokuz Eylül Üniversitesi,Programlama Dilleri,"Veri analizi, istatistiksel modelleme, Python ile veri işleme ve görselleştirme.",dokuz eylül üniversite,dok eylül üniversites,programlamak dil,programla dil,veri analiz istatistik modellemek Python veri işlemek görsel,ver analiz istatistiksel modelle python ver işle görselleştirme
Boğaziçi Üniversitesi,Yapay Zeka,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",Boğaziçi üniversite,boğaziç üniversites,yapay zekâ,yapay zeka,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Yazılım Geliştirme,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",orta doğu teknik üniversite,or dok teknik üniversites,nesne taban yazılı geliştirmek,nesne tabanlı yazıl geliştirme,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Orta Doğu Teknik Üniversitesi,Yapay Zeka,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",orta doğu teknik üniversite,or dok teknik üniversites,yapay zekâ,yapay zeka,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
İstanbul Teknik Üniversitesi,Veri Madenciliği,Java ve C# dillerinde nesne tabanlı yazılım geliştirme prensipleri.,Unk teknik üniversite,i̇stanbul teknik üniversites,veri maden,ver madencilik,Java C dil nesne taban yazılı geliştirmek prensip,jav c dil nesne tabanlı yazıl geliştirme prensip
İstanbul Üniversitesi,Mobil Uygulama Geliştirme,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Unk üniversite,i̇stanbul üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Yıldız Teknik Üniversitesi,Genel Matematik,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",yıldız teknik üniversite,yıldız teknik üniversites,genel matematik,genel matematik,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Orta Doğu Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",orta doğu teknik üniversite,or dok teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Dokuz Eylül Üniversitesi,İnternet Programcılığı,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",dokuz eylül üniversite,dok eylül üniversites,Unk program,i̇nternet programcılık,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
İstanbul Teknik Üniversitesi,Dijital Oyun Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",Unk teknik üniversite,i̇stanbul teknik üniversites,dijital oymak programlamak,dijital oy programla,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Marmara Üniversitesi,Veri Madenciliği,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",Marmara üniversite,marmar üniversites,veri maden,ver madencilik,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
İstanbul Üniversitesi,Sistem Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Unk üniversite,i̇stanbul üniversites,sistem programlamak,siste programla,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Ankara Üniversitesi,Bilgisayar Ağları,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Ankara üniversite,ankar üniversites,bilgisayar ağ,bilgisayar ak,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
Dokuz Eylül Üniversitesi,Makine Ãğrenmesi,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",dokuz eylül üniversite,dok eylül üniversites,maki,mak,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
İstanbul Üniversitesi,Programlama Dilleri,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",Unk üniversite,i̇stanbul üniversites,programlamak dil,programla dil,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
İstanbul Teknik Üniversitesi,Siber Güvenlik,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Unk teknik üniversite,i̇stanbul teknik üniversites,siber Güvenlik,siber güvenlik,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Yıldız Teknik Üniversitesi,Bilgisayar Ağları,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",yıldız teknik üniversite,yıldız teknik üniversites,bilgisayar ağ,bilgisayar ak,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
İstanbul Üniversitesi,Mobil Uygulama Geliştirme,"Denetimli ve denetimsiz öğrenme algoritmaları, regresyon, sınıflandırma ve model değerlendirme.",Unk üniversite,i̇stanbul üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,denetim denetim öğrenmek algoritma regresyon sınıf model değerlendirmek,denetimli denetimsiz öğrenme algoritma regresyo sınıflandırma model değerlendirme
Ankara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",Ankara üniversite,ankar üniversites,veri taba Yönet sistem,ver taba yönet sistem,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Orta Doğu Teknik Üniversitesi,İnternet Programcılığı,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",orta doğu teknik üniversite,or dok teknik üniversites,Unk program,i̇nternet programcılık,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
İstanbul Üniversitesi,Sistem Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",Unk üniversite,i̇stanbul üniversites,sistem programlamak,siste programla,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Hacettepe Üniversitesi,Mobil Uygulama Geliştirme,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Hacettepe üniversite,hacettep üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
İstanbul Teknik Üniversitesi,Genel Matematik,"Nesne yönelimli programlamaya giriş, sınıflar, kalıtım, kapsülleme ve çok biçimlilik konuları.",Unk teknik üniversite,i̇stanbul teknik üniversites,genel matematik,genel matematik,nesne yönelim programlamak girişmek sınıflamak kalıt Unk biçimli konu,nesne yönelimli programlama giriş sınıf kalıt kapsülle biçimlilik konu
İstanbul Teknik Üniversitesi,Mobil Uygulama Geliştirme,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",Unk teknik üniversite,i̇stanbul teknik üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Dokuz Eylül Üniversitesi,Yapay Zeka,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",dokuz eylül üniversite,dok eylül üniversites,yapay zekâ,yapay zeka,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Yıldız Teknik Üniversitesi,Dijital Oyun Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",yıldız teknik üniversite,yıldız teknik üniversites,dijital oymak programlamak,dijital oy programla,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Orta Doğu Teknik Üniversitesi,Makine Ãğrenmesi,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",orta doğu teknik üniversite,or dok teknik üniversites,maki,mak,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Ankara Üniversitesi,Kriptografi ve Veri Güvenliği,"Veritabanı tasarımı, SQL sorguları, veri modelleme, veri güvenliği ve ilişkisel veri tabanı yönetim sistemleri.",Ankara üniversite,ankar üniversites,kriptografi veri güvenlik,kriptograf ver güvenlik,veritabanı tasar Unk sorgu veri modellemek veri güvenlik ilişki veri taba Yönet sistem,veritaba tasar sql sorgu ver modelle ver güvenlik ilişkisel ver taba yönet sistem
Marmara Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Marmara üniversite,marmar üniversites,veri taba Yönet sistem,ver taba yönet sistem,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Dokuz Eylül Üniversitesi,Makine Ãğrenmesi,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",dokuz eylül üniversite,dok eylül üniversites,maki,mak,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Orta Doğu Teknik Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",orta doğu teknik üniversite,or dok teknik üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
Ankara Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Ankara üniversite,ankar üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Ankara Üniversitesi,Sistem Programlama,"Temel bilgisayar donanımı ve yazılımı, algoritmalar, veri yapıları ve bilgisayar bilimlerinin temel ilkeleri.",Ankara üniversite,ankar üniversites,sistem programlamak,siste programla,temel bilgisayar donanım yazılı algoritma veri yapı bilgisayar bilim temel ilke,temel bilgisayar donan yazıl algoritma ver yapı bilgisayar bilim temel ilke
Dokuz Eylül Üniversitesi,Web Programlama,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",dokuz eylül üniversite,dok eylül üniversites,Web programlamak,web programla,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Yıldız Teknik Üniversitesi,Siber Güvenlik,"Android ve iOS platformları için uygulama geliştirme, arayüz tasarımı ve veri yönetimi.",yıldız teknik üniversite,yıldız teknik üniversites,siber Güvenlik,siber güvenlik,android Unk platform uygulamak geliştirmek arayüz tasar veri Yönet,androidi ios platform uygula geliştirme arayüz tasar ver yönet
Ankara Üniversitesi,Veri Madenciliği,"Çeşitli programlama dillerinin yapıları, sözdizimi, semantik ve çevirici sistemleri.",Ankara üniversite,ankar üniversites,veri maden,ver madencilik,çeşitli programlamak dil yapı sözdizim semantik çevirmek sistem,çeşitli programla dil yapı sözdiz sema çeviriç sistem
Boğaziçi Üniversitesi,İnternet Programcılığı,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Boğaziçi üniversite,boğaziç üniversites,Unk program,i̇nternet programcılık,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Orta Doğu Teknik Üniversitesi,Nesne Tabanlı Programlama,"Şifreleme teknikleri, dijital imza, güvenli iletişim yöntemleri ve ağ güvenliği.",orta doğu teknik üniversite,or dok teknik üniversites,nesne taban programlamak,nesne tabanlı programla,şifrelemek teknik dijital imza güven iletişim Yöntem ağmak güvenlik,şifrele teknik dijital imza güvenli iletiş yöntem ağ güvenlik
Koç Üniversitesi,İnternet Programcılığı,"Bilgi güvenliği temelleri, şifreleme, ağ güvenliği, tehditler ve önlemler.",koçmak üniversite,koç üniversites,Unk program,i̇nternet programcılık,bilgi güvenlik temel şifrelemek ağmak güvenlik tehdit önlem,bilgi güvenlik temel şifrele ağ güvenlik tehdit önlem
Marmara Üniversitesi,Mobil Uygulama Geliştirme,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",Marmara üniversite,marmar üniversites,mobil uygulamak geliştirmek,mobil uygula geliştirme,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Boğaziçi Üniversitesi,Bilgisayar Mühendisliğine Giriş,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Boğaziçi üniversite,boğaziç üniversites,bilgisayar mühendis girişmek,bilgisayar mühendislik giriş,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Orta Doğu Teknik Üniversitesi,Veri Tabanı Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",orta doğu teknik üniversite,or dok teknik üniversites,veri taba Yönet sistem,ver taba yönet sistem,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Yıldız Teknik Üniversitesi,Sistem Programlama,"Akıllı sistemler, karar verme mekanizmaları, arama algoritmaları ve uzman sistemler.",yıldız teknik üniversite,yıldız teknik üniversites,sistem programlamak,siste programla,akıl sistem karmak vermek mekanizma aramak algoritma uzman sistem,akıllı sistem karar verme mekanizma ara algoritma uzma sistem
Boğaziçi Üniversitesi,Sistem Programlama,"Büyük veri kümeleri üzerinden desen ve örüntü çıkarımı, sınıflandırma ve kümeleme yöntemleri.",Boğaziçi üniversite,boğaziç üniversites,sistem programlamak,siste programla,büyük veri küme Üzer demek örüntü çıkar sınıf kümelemek Yöntem,büyük ver küme üzer dese ör çıkar sınıflandırma kümele yöntem
Marmara Üniversitesi,Veri Bilimi,"Fonksiyonlar, limit, türev, integral, lineer cebir ve diferansiyel denklemler.",Marmara üniversite,marmar üniversites,veri bili,ver bil,fonksiyon limit türev integral lineer cebir diferansiyel denklem,fonksiyon limit türev integral lineer cebir diferansiyel denklem
Koç Üniversitesi,Veritabanı Sistemleri,"Düşük seviye programlama, işletim sistemi ile etkileşim, dosya sistemleri ve iş parçacığı yönetimi.",koçmak üniversite,koç üniversites,veritabanı sistem,veritaba sistem,düşük sevi programlamak işletim sistem etkileşim dosya sistem iş parça Yönet,düşük sevi programla işlet siste etkileş dosya sistem iş parçacık yönet
Boğaziçi Üniversitesi,İçerik Yönetim Sistemleri,"Web programlama, istemci-sunucu yapısı, HTML, CSS, JavaScript ve sunucu taraflı programlama.",Boğaziçi üniversite,boğaziç üniversites,Unk Yönet sistem,i̇çerik yönet sistem,Web programlamak yapı Html Unk Javascript sunmak taraf programlamak,web programla yapıs html css javascript sunuç taraflı programla
Hacettepe Üniversitesi,Veri Bilimi,"Ağ katmanları, protokoller, TCP/IP mimarisi ve güvenlik önlemleri.",Hacettepe üniversite,hacettep üniversites,veri bili,ver bil,ağmak katman protokol mimarî Güvenlik önlem,ağ katman protokoller mimaris güvenlik önlem
İstanbul Üniversitesi,Sistem Programlama,"Web teknolojileri, istemci-sunucu uygulamaları, front-end ve back-end programlama.",Unk üniversite,i̇stanbul üniversites,sistem programlamak,siste programla,Web teknoloji uygulamak programlamak,web teknoloji uygulama programla
